Pokemon,Max CP,Max HP,Attack,Defense,Stamina,Total Stats,Is Legendary,Type 1,Type 2
Wigglytuff,"1,926",242,156,90,295,541,False,normal,fairy
Pignite,"1,924",173,173,106,207,486,False,fire,fighting
Arbok,"1,921",132,167,153,155,475,False,poison,none
Swellow,"1,920",132,185,124,155,464,False,normal,flying
Graveler,"1,897",125,164,164,146,474,False,rock,ground
Munchlax,"1,892",235,137,117,286,540,False,normal,none
Grotle,"1,890",153,157,143,181,481,False,grass,none
Gabite,"1,874",143,172,125,169,466,False,dragon,ground
Roselia,"1,870",118,186,131,137,454,False,grass,poison
Parasect,"1,859",132,165,146,155,466,False,bug,grass
Gligar,"1,857",139,143,184,163,490,False,ground,flying
Vivillon,"1,855",160,176,103,190,469,False,bug,flying
Klang,"1,847",132,150,174,155,479,False,steel,none
Liepard,"1,846",138,187,106,162,455,False,dark,none
Beedrill,"1,846",139,169,130,163,462,False,bug,poison
Archen,"1,842",125,213,89,146,448,False,rock,flying
Dedenne,"1,841",142,164,134,167,465,False,electric,fairy
Zweilous,"1,839",149,159,135,176,470,False,dark,dragon
Marowak,"1,835",132,144,186,155,485,False,ground,fire
Butterfree,"1,827",132,167,137,155,459,False,bug,flying
Bibarel,"1,823",158,162,119,188,469,False,normal,water
Cranidos,"1,820",142,218,71,167,456,False,rock,none
Watchog,"1,819",132,165,139,155,459,False,normal,none
Mothim,"1,815",146,185,98,172,455,False,bug,flying
Lumineon,"1,814",144,142,170,170,482,False,water,none
Braixen,"1,813",131,171,130,153,454,False,fire,none
Chatot,"1,791",154,183,91,183,457,False,normal,flying
Dragonair,"1,780",133,163,135,156,454,False,dragon,none
Plusle,"1,778",132,167,129,155,451,False,electric,none
Marshtomp,"1,776",146,156,133,172,461,False,water,ground
Wormadam,"1,773",132,141,180,155,476,False,bug,grass
Ariados,"1,772",146,161,124,172,457,False,bug,poison
Illumise,"1,771",139,143,166,163,472,False,bug,none
Volbeat,"1,771",139,143,166,163,472,False,bug,none
Pupitar,"1,766",146,155,133,172,460,False,rock,ground
Beautifly,"1,765",132,189,98,155,442,False,bug,flying
Furret,"1,758",166,148,125,198,471,False,normal,none
Dewott,"1,741",153,159,116,181,456,False,water,none
Raticate,"1,730",125,161,139,146,446,False,normal,dark
Croconaw,"1,722",139,150,142,163,455,False,water,none
Metang,"1,721",132,138,176,155,469,False,steel,psychic
Porygon,"1,720",139,153,136,163,452,False,normal,none
Quilladin,"1,719",133,146,156,156,458,False,grass,none
Swoobat,"1,716",142,161,119,167,447,False,psychic,flying
Eelektrik,"1,715",139,156,130,163,449,False,electric,none
Sealeo,"1,714",173,137,132,207,476,False,ice,water
Lampent,"1,708",132,169,115,155,439,False,ghost,fire
Togetic,"1,708",125,139,181,146,466,False,fairy,flying
Magcargo,"1,702",118,139,191,137,467,False,fire,rock
Prinplup,"1,701",138,150,139,162,451,False,water,none
Ivysaur,"1,699",132,151,143,155,449,False,grass,poison
Ponyta,"1,697",118,170,127,137,434,False,fire,none
Minun,"1,694",132,147,150,155,452,False,electric,none
Dunsparce,"1,689",187,131,128,225,484,False,normal,none
Persian,"1,689",139,150,136,163,449,False,normal,dark
Audino,"1,682",191,114,163,230,507,False,normal,none
Gloom,"1,681",132,153,136,155,444,False,grass,poison
Grovyle,"1,673",118,172,120,137,429,False,grass,none
Linoone,"1,662",157,142,128,186,456,False,normal,none
Kricketune,"1,653",155,160,100,184,444,False,bug,none
Quilava,"1,653",129,158,126,151,435,False,fire,none
Charmeleon,"1,653",129,158,126,151,435,False,fire,none
Combusken,"1,652",132,163,115,155,433,False,fire,fighting
Rhyhorn,"1,651",160,140,127,190,457,False,ground,rock
Frogadier,"1,636",124,168,114,144,426,False,water,none
Jumpluff,"1,636",153,118,183,181,482,False,grass,flying
Tyrunt,"1,635",129,158,123,151,432,False,rock,dragon
Mawile,"1,634",118,155,141,137,433,False,steel,fairy
Emolga,"1,633",125,158,127,146,431,False,electric,flying
Castform,"1,632",146,139,139,172,450,False,normal,none
Weepinbell,"1,611",139,172,92,163,427,False,grass,poison
Gothorita,"1,604",132,137,153,155,445,False,psychic,none
Vanillish,"1,591",120,151,138,139,428,False,ice,none
Dusclops,"1,591",105,124,234,120,478,False,ghost,none
Azumarill,"1,588",187,112,152,225,489,False,water,fairy
Herdier,"1,583",139,145,126,163,434,False,normal,none
Monferno,"1,574",138,158,105,162,425,False,fire,fighting
Murkrow,"1,562",132,175,87,155,417,False,dark,flying
Krabby,"1,561",91,181,124,102,407,False,water,none
Dugtrio,"1,557",98,167,134,111,412,False,ground,ground
Omanyte,"1,544",98,155,153,111,419,False,rock,water
Bastiodon,"1,539",132,94,286,155,535,False,rock,steel
Floette,"1,532",124,136,151,144,431,False,fairy,none
Anorith,"1,529",111,176,100,128,404,False,rock,bug
Flaaffy,"1,521",146,145,109,172,426,False,electric,none
Diggersby,"1,509",166,112,155,198,465,False,normal,ground
Larvesta,"1,496",125,156,107,146,409,False,bug,fire
Delcatty,"1,496",146,132,127,172,431,False,normal,none
Rufflet,"1,491",146,150,97,172,419,False,normal,flying
Pancham,"1,489",142,145,107,167,419,False,fighting,none
Tirtouga,"1,488",124,134,146,144,424,False,water,rock
Wartortle,"1,488",131,126,155,153,434,False,water,none
Luxio,"1,486",132,159,95,155,409,False,electric,none
Sableye,"1,476",118,141,136,137,414,False,dark,ghost
Yanma,"1,470",139,154,94,163,411,False,bug,flying
Fletchinder,"1,469",135,145,110,158,413,False,fire,flying
Wailmer,"1,468",228,136,68,277,481,False,water,none
Carbink,"1,467",118,95,285,137,517,False,rock,fairy
Bayleef,"1,454",132,122,155,155,432,False,grass,none
Darumaka,"1,442",146,153,86,172,411,False,fire,none
Tranquill,"1,442",135,144,107,158,409,False,normal,flying
Servine,"1,441",132,122,152,155,429,False,grass,none
Pawniard,"1,433",111,154,114,128,396,False,dark,steel
Medicham,"1,431",132,121,152,155,428,False,fighting,psychic
Litleo,"1,425",135,139,112,158,409,False,fire,normal
Poliwhirl,"1,419",139,130,123,163,416,False,water,none
Krokorok,"1,418",132,155,90,155,400,False,ground,dark
Lickitung,"1,411",173,108,137,207,452,False,normal,none
Nidorino,"1,393",133,137,111,156,404,False,poison,none
Palpitoad,"1,392",153,128,109,181,418,False,water,ground
Mienfoo,"1,389",111,160,98,128,386,False,fighting,none
Elgyem,"1,385",125,148,100,146,394,False,psychic,none
Corsola,"1,378",125,118,156,146,420,False,water,rock
Drilbur,"1,376",132,154,85,155,394,False,ground,none
Grimer,"1,374",160,135,90,190,415,False,poison,poison
Scraggy,"1,372",118,132,132,137,401,False,dark,fighting
Swadloon,"1,370",125,115,162,146,423,False,bug,grass
Kabuto,"1,370",91,148,140,102,390,False,rock,water
Axew,"1,368",113,154,101,130,385,False,dragon,none
Solosis,"1,367",111,170,83,128,381,False,psychic,none
Amaura,"1,363",155,124,109,184,417,False,rock,ice
Magnemite,"1,362",84,165,121,93,379,False,electric,steel
Hippopotas,"1,358",143,124,118,169,411,False,ground,none
Aipom,"1,348",125,136,112,146,394,False,normal,none
Ledian,"1,346",125,107,179,146,432,False,bug,flying
Abra,"1,342",84,195,82,93,370,False,psychic,none
Spoink,"1,334",132,125,122,155,402,False,psychic,none
Teddiursa,"1,328",132,142,93,155,390,False,normal,none
Loudred,"1,327",165,134,81,197,412,False,normal,none
Magby,"1,323",111,151,99,128,378,False,fire,none
Timburr,"1,315",153,134,87,181,402,False,fighting,none
Nidorina,"1,309",146,117,120,172,409,False,poison,none
Aron,"1,307",118,121,141,137,399,False,steel,rock
Bonsly,"1,302",118,124,133,137,394,False,rock,none
Staravia,"1,299",125,142,94,146,382,False,normal,flying
Geodude,"1,293",105,132,132,120,384,False,rock,ground
Lileep,"1,291",140,105,150,165,420,False,rock,grass
Smoochum,"1,291",111,153,91,128,372,False,ice,psychic
Machop,"1,278",146,137,82,172,391,False,fighting,none
Trapinch,"1,274",111,162,78,128,368,False,ground,none
Vullaby,"1,271",146,105,139,172,416,False,dark,flying
Clamperl,"1,270",98,133,135,111,379,False,water,none
Sandshrew,"1,261",118,126,120,137,383,False,ground,ice
Espurr,"1,259",135,120,114,158,392,False,psychic,none
Buneary,"1,258",125,130,105,146,381,False,normal,none
Frillish,"1,257",125,115,134,146,395,False,water,ghost
Chansey,"1,255",392,60,128,487,675,False,normal,none
Spritzee,"1,252",157,110,113,186,409,False,fairy,none
Skiddo,"1,250",140,123,102,165,390,False,grass,none
Mantyke,"1,248",111,105,179,128,412,False,water,flying
Growlithe,"1,243",125,136,93,146,375,False,fire,none
Cacnea,"1,242",118,156,74,137,367,False,grass,none
Snubbull,"1,237",132,137,85,155,377,False,fairy,none
Farfetch'd,"1,236",121,124,115,141,380,False,normal,flying
Houndour,"1,234",111,152,83,128,363,False,dark,fire
Corphish,"1,230",109,141,99,125,365,False,water,none
Gastly,"1,229",91,186,67,102,355,False,ghost,poison
Oddish,"1,228",111,131,112,128,371,False,grass,poison
Nuzleaf,"1,227",146,134,78,172,384,False,grass,dark
Slowpoke,"1,226",173,109,98,207,414,False,water,psychic
Vibrava,"1,225",118,134,99,137,370,False,ground,dragon
Dwebble,"1,224",118,118,128,137,383,False,bug,rock
Dustox,"1,224",132,98,162,155,415,False,bug,poison
Pumpkaboo,"1,222",117,121,123,135,379,False,ghost,grass
Spinda,"1,220",132,116,116,155,387,False,normal,none
Bergmite,"1,215",125,117,120,146,383,False,ice,none
Koffing,"1,214",105,119,141,120,380,False,poison,none
Pachirisu,"1,213",132,94,172,155,421,False,electric,none
Elekid,"1,206",111,135,101,128,364,False,electric,none
Phanpy,"1,206",173,107,98,207,412,False,ground,none
Roggenrola,"1,205",125,121,110,146,377,False,rock,none
Doduo,"1,200",98,158,83,111,352,False,normal,flying
Drifloon,"1,197",173,117,80,207,404,False,ghost,flying
Lombre,"1,197",132,112,119,155,386,False,water,grass
Pidgeotto,"1,194",136,117,105,160,382,False,normal,flying
Golett,"1,189",131,127,92,153,372,False,ground,ghost
Turtwig,"1,187",125,119,110,146,375,False,grass,none
Unown,"1,185",116,136,91,134,361,False,psychic,none
Karrablast,"1,182",118,137,87,137,361,False,bug,none
Swirlix,"1,179",135,109,119,158,386,False,fairy,none
Zorua,"1,175",105,153,78,120,351,False,dark,none
Exeggcute,"1,175",132,107,125,155,387,False,grass,psychic
Mankey,"1,164",105,148,82,120,350,False,fighting,none
Snover,"1,159",132,115,105,155,375,False,grass,ice
Staryu,"1,157",91,137,112,102,351,False,water,none
Bagon,"1,156",111,134,93,128,355,False,dragon,none
Clefairy,"1,155",146,107,108,172,387,False,fairy,none
Goldeen,"1,152",111,123,110,128,361,False,water,none
Stunky,"1,151",136,121,90,160,371,False,poison,dark
Munna,"1,145",154,111,92,183,386,False,psychic,none
Whirlipede,"1,144",105,100,173,120,393,False,bug,poison
Shellos,"1,136",154,103,105,183,391,False,water,none
Deerling,"1,135",132,115,100,155,370,False,normal,grass
Totodile,"1,131",118,117,109,137,363,False,water,none
Mudkip,"1,128",118,126,93,137,356,False,water,none
Phantump,"1,123",109,125,103,125,353,False,ghost,grass
Chinchou,"1,119",153,106,97,181,384,False,water,electric
Bulbasaur,"1,115",111,118,111,128,357,False,grass,poison
Gible,"1,112",129,124,84,151,359,False,dragon,ground
Pineco,"1,108",118,108,122,137,367,False,bug,none
Psyduck,"1,106",118,122,95,137,354,False,water,none
Natu,"1,102",105,134,89,120,343,False,psychic,flying
Onix,"1,101",98,85,232,111,428,False,rock,ground
Chespin,"1,096",127,110,106,148,364,False,grass,none
Mime Jr.,"1,095",78,125,142,85,352,False,psychic,fairy
Delibird,"1,094",111,128,90,128,346,False,ice,flying
Torchic,"1,093",111,130,87,128,345,False,fire,none
Clauncher,"1,088",118,108,117,137,362,False,water,none
Tepig,"1,083",139,115,85,163,363,False,fire,none
Shellder,"1,080",91,116,134,102,352,False,water,none
Piplup,"1,075",122,112,102,142,356,False,water,none
Eevee,"1,071",125,104,114,146,364,False,normal,none
Cubchoo,"1,069",125,128,74,146,348,False,ice,none
Skrelp,"1,063",118,109,109,137,355,False,poison,water
Flabébé,"1,063",111,108,120,127,355,False,fairy,none
Deino,"1,062",121,116,93,141,350,False,dark,dragon
Numel,"1,057",132,119,79,155,353,False,fire,ground
Horsea,"1,056",91,129,103,102,334,False,water,none
Buizel,"1,054",125,132,67,146,345,False,water,none
Treecko,"1,053",105,124,94,120,338,False,grass,none
Oshawott,"1,046",125,117,85,146,348,False,water,none
Larvitar,"1,040",118,115,93,137,345,False,rock,ground
Drowzee,"1,040",132,89,136,155,380,False,psychic,none
Tentacool,"1,040",105,97,149,120,366,False,water,poison
Sandile,"1,037",118,132,69,137,338,False,ground,dark
Vanillite,"1,033",100,118,106,113,337,False,ice,none
Bellsprout,"1,033",118,139,61,137,337,False,grass,poison
Petilil,"1,030",111,119,91,128,338,False,grass,none
Fennekin,"1,028",105,116,102,120,338,False,fire,none
Wobbuffet,"1,026",310,60,106,382,548,False,psychic,none
Joltik,"1,023",118,110,98,137,345,False,bug,electric
Carvanha,"1,020",111,171,39,128,338,False,water,dark
Cubone,"1,019",118,90,144,137,371,False,ground,none
Shuppet,"1,018",111,138,65,127,330,False,ghost,none
Paras,"1,018",98,121,99,111,331,False,bug,grass
Woobat,"1,016",139,107,85,163,355,False,psychic,flying
Voltorb,"1,010",105,109,111,120,340,False,electric,none
Skorupi,"1,009",105,93,151,120,364,False,poison,bug
Litwick,"1,006",118,108,98,137,343,False,ghost,fire
Chingling,"1,005",111,114,94,128,336,False,psychic,none
Dratini,"1,004",106,119,91,121,331,False,dragon,none
Venonat,"1,004",132,100,100,155,355,False,bug,poison
Slakoth,"1,002",132,104,92,155,351,False,normal,none
Trubbish,"1,000",118,96,122,137,355,False,poison,none
Riolu,993,105,127,78,120,325,False,fighting,none
Nosepass,993,91,82,215,102,399,False,rock,none
Froakie,992,106,122,84,121,327,False,water,none
Mareep,991,125,114,79,146,339,False,electric,none
Yamask,982,102,95,141,116,352,False,ghost,none
Cyndaquil,980,103,116,93,118,327,False,fire,none
Charmander,980,103,116,93,118,327,False,fire,none
Foongus,979,144,97,91,170,358,False,grass,poison
Sewaddle,977,111,96,124,128,348,False,bug,grass
Goomy,976,111,101,112,128,341,False,dragon,none
Beldum,976,105,96,132,120,348,False,steel,psychic
Skiploom,976,125,91,120,146,357,False,grass,flying
Finneon,971,117,96,116,135,347,False,water,none
Seel,971,139,85,121,163,369,False,water,none
Kirlia,966,102,117,90,116,323,False,psychic,fairy
Electrike,965,105,123,78,120,321,False,electric,none
Spheal,962,146,95,90,172,357,False,ice,water
Chimchar,957,111,113,86,127,326,False,fire,none
Klink,956,105,98,121,120,339,False,steel,none
Panpour,956,118,104,94,137,335,False,water,none
Pansear,956,118,104,94,137,335,False,fire,none
Pansage,956,118,104,94,137,335,False,grass,none
Croagunk,952,116,116,76,134,326,False,poison,fighting
Gothita,951,111,98,112,128,338,False,psychic,none
Cherubi,950,111,108,92,128,328,False,grass,none
Binacle,946,107,96,120,123,339,False,rock,water
Squirtle,946,111,94,121,127,342,False,water,none
Ferroseed,941,111,82,155,127,364,False,grass,steel
Pikachu,938,98,112,96,111,319,False,electric,none
Chikorita,935,111,92,122,128,342,False,grass,none
Glameow,934,117,109,82,135,326,False,normal,none
Helioptile,933,111,115,78,127,320,False,electric,normal
Inkay,927,122,98,95,142,335,False,dark,psychic
Ekans,927,98,110,97,111,318,False,poison,none
Lillipup,915,111,107,86,128,321,False,normal,none
Remoraid,912,98,127,69,111,307,False,water,none
Slugma,895,105,118,71,120,309,False,fire,none
Shieldon,890,91,76,195,102,373,False,rock,steel
Snorunt,888,118,95,95,137,327,False,ice,none
Vulpix,883,102,96,109,116,321,False,fire,ice
Blitzle,882,111,118,64,128,310,False,electric,none
Shinx,876,111,117,64,128,309,False,electric,none
Minccino,872,125,98,80,146,324,False,normal,none
Gulpin,866,146,80,99,172,351,False,poison,none
Nidoran♂,860,113,105,76,130,311,False,poison,none
Ducklett,856,135,84,96,158,338,False,water,flying
Budew,856,105,91,109,120,320,False,grass,poison
Snivy,849,111,88,107,128,323,False,grass,none
Pidove,848,118,98,80,137,315,False,normal,flying
Luvdisc,848,109,81,128,125,334,False,water,none
Tympole,839,118,98,78,137,313,False,water,none
Shelmet,834,118,72,140,137,349,False,bug,none
Ditto,832,116,91,91,134,316,False,normal,none
Poliwag,829,105,101,82,120,303,False,water,none
Swablu,824,111,76,132,128,336,False,normal,flying
Barboach,819,118,93,82,137,312,False,water,ground
Makuhita,817,149,99,54,176,329,False,fighting,none
Spinarak,816,105,105,73,120,298,False,bug,poison
Nidoran♀,816,125,86,89,146,321,False,poison,none
Tynamo,811,98,105,78,111,294,False,electric,none
Shroomish,810,132,74,110,155,339,False,grass,none
Fletchling,800,111,95,80,128,303,False,normal,flying
Spearow,798,105,112,60,120,292,False,normal,flying
Patrat,791,111,98,73,128,299,False,normal,none
Surskit,791,105,93,87,120,300,False,bug,water
Baltoy,787,105,77,124,120,321,False,ground,psychic
Purrloin,772,106,98,73,121,292,False,dark,none
Nincada,768,93,80,126,104,310,False,bug,ground
Wingull,765,105,106,61,120,287,False,water,flying
Taillow,765,105,106,61,120,287,False,normal,flying
Meowth,748,105,92,78,120,290,False,normal,dark
Swinub,741,118,90,69,137,296,False,ice,ground
Skitty,739,118,84,79,137,300,False,normal,none
Rattata,734,91,103,70,102,275,False,normal,dark
Ledyba,728,105,72,118,120,310,False,bug,flying
Jigglypuff,724,207,80,41,251,372,False,normal,fairy
Bidoof,721,131,80,73,153,306,False,normal,none
Starly,719,105,101,58,120,279,False,normal,flying
Venipede,706,91,83,99,102,284,False,bug,poison
Duskull,706,78,70,162,85,317,False,ghost,none
Cottonee,700,105,71,111,120,302,False,grass,fairy
Meditite,693,91,78,107,102,287,False,fighting,psychic
Pidgey,680,105,85,73,120,278,False,normal,flying
Poochyena,678,98,96,61,111,268,False,dark,none
Hoothoot,677,132,67,88,155,310,False,normal,flying
Diglett,676,64,109,78,67,254,False,ground,ground
Whismur,671,138,92,42,162,296,False,normal,none
Cleffa,671,118,75,79,137,291,False,fairy,none
Noibat,667,105,83,73,120,276,False,flying,dragon
Zubat,667,105,83,73,120,276,False,poison,flying
Togepi,657,98,67,116,111,294,False,fairy,none
Wooper,641,125,75,66,146,287,False,water,ground
Sentret,618,98,79,73,111,263,False,normal,none
Bronzor,603,128,43,154,149,346,False,steel,psychic
Hoppip,600,98,67,94,111,272,False,grass,flying
Seedot,598,105,71,77,120,268,False,grass,none
Lotad,598,105,71,77,120,268,False,water,grass
Wurmple,578,111,75,59,128,262,False,bug,none
Bunnelby,553,102,68,72,116,256,False,normal,none
Cascoon,553,118,60,77,137,274,False,bug,none
Silcoon,553,118,60,77,137,274,False,bug,none
Ralts,539,89,79,59,99,237,False,psychic,fairy
Igglybuff,535,173,69,32,207,308,False,normal,fairy
Wynaut,534,180,41,86,216,343,False,psychic,none
Zigzagoon,508,102,58,80,116,254,False,normal,none
Combee,494,91,59,83,102,244,False,bug,flying
Scatterbug,492,102,63,63,116,242,False,bug,none
Tyrogue,492,98,64,64,111,239,False,fighting,none
Burmy,488,105,53,83,120,256,False,bug,none
Spewpa,479,111,48,89,128,265,False,bug,none
Pichu,473,78,77,53,85,215,False,electric,none
Marill,461,146,37,93,172,302,False,water,fairy
Weedle,456,105,63,50,120,233,False,bug,poison
Metapod,450,118,45,80,137,262,False,bug,none
Caterpie,437,111,55,55,128,238,False,bug,none
Kakuna,432,111,46,75,128,249,False,bug,poison
Smeargle,431,125,40,83,146,269,False,normal,none
Shuckle,405,78,17,396,85,498,False,bug,rock
Kricketot,401,100,45,74,114,233,False,bug,none
Sunkern,395,91,55,55,102,212,False,grass,none
Shedinja,393,12,153,73,1,227,False,bug,ghost
Happiny,371,187,25,77,225,327,False,normal,none
Azurill,364,118,36,71,137,244,False,normal,fairy
Feebas,274,78,29,85,85,199,False,water,none
Magikarp,274,78,29,85,85,199,False,water,none
Zygarde,14,11,0,0,0,0,False,dragon,ground
Aegislash,14,11,0,0,0,0,False,steel,ghost
Doublade,14,11,0,0,0,0,False,steel,ghost
Honedge,14,11,0,0,0,0,False,steel,ghost
